4250	[약물 등의] 부작용	약물 등의] 부작용
14453	…이 없는	"…이 없는"
14454	벗어난	"벗어난"
14455	자유의	"자유의"
14456	무료의	"무료의"
14457	해방시키다	"해방시키다"
14458	「해방하다」를 의미하는 가장 일반적이고 넓은 뜻의 말	"「해방하다」를 의미하는 가장 일반적이고 넓은 뜻의 말"
14459	인근의	"인근의"
14460	주변의	"주변의"
14461	가까운	"가까운"
14462	근거리	"근거리"
14463	바로 가까이에	"바로 가까이에"
14464	근처의	"근처의"
16075	느긋해지다;[속도·진행]을 늦추다; (기력이) 쇠해지다; 《美》 (노동자가) 태업하다	"느긋해지다;[속도·진행]을 늦추다; (기력이) 쇠해지다; 《美》 (노동자가) 태업하다"
16076	태업	"태업"
16077	감속	"감속"
16078	감산	"감산"
24639	[미·속어] 수재; 건방진[잘난 체하는] (녀석)	미·속어] 수재; 건방진[잘난 체하는] (녀석)
31229	남을 비웃다	남을] 비웃다
35039	카를로스[이름]	카를로스[이름
35041	노구치[이름]	노구치[이름
35042	유리코[이름]	유리코[이름
39961	[사람들로] 꽉 찬	사람들로]꽉 찬
40162	신문 가판대[들]	신문 가판대[들
40163	수갑[들]	수갑[들
44768	소등	"소등"
44769	정전	"정전"
44770	공표를 피하다; (파업 따위로) 방송을 중단하다	"공표를 피하다; (파업 따위로) 방송을 중단하다"
44771	암전	"암전"
44772	① ~을 온통 검게 칠하다 ②[무대]를 어둡게 하다 ③ 등화 관제를 하다 ④ (일시적으로) 의식을 잃다 ⑤ (어떤 사람·사건 등에 대한) 기억을 잃다 ⑥ (뉴스 따위의) 보도를 금하다	"① ~을 온통 검게 칠하다 ②[무대]를 어둡게 하다 ③ 등화 관제를 하다 ④ (일시적으로) 의식을 잃다 ⑤ (어떤 사람·사건 등에 대한) 기억을 잃다 ⑥ (뉴스 따위의) 보도를 금하다"
45077	~을 단계적으로 철수[제거]	~을 단계적으로 철수[제거
45079	[정지]하다	정지]하다
50615	엄청난	"엄청난"
50616	와우~ 멋지다	"와우~ 멋지다"
51962	요구하다	"요구하다"
51963	요구들	"요구들"
51977	(힘)	(힘
51978	(영향)행사하다	영향)행사하다
52565	역행	"역행"
52566	방해하다; ~을 퇴보시키다 ②[시계 바늘 따위]를 되돌리다 ③ 《美속어》 (비용을)[남]에게 지불시키다	"방해하다; ~을 퇴보시키다 ②[시계 바늘 따위]를 되돌리다 ③ 《美속어》 (비용을)[남]에게 지불시키다"
52567	실패	"실패"
52568	① ~을 저지하다	"① ~을 저지하다"
52569	좌절	"좌절"
