1	28645	AFFIX
2	35850	AFFIX
3	31822	AFFIX
4	39996	AFFIX
5	50614	TRASH
6	40486	AFFIX
7	30019	OK-NOUN
8	41822	AFFIX
9	34391	AFFIX
10	35671	TRASH
11	42817	AFFIX
12	42819	AFFIX
13	46865	AFFIX
14	42408	AFFIX
15	42671	AFFIX
16	41607	AFFIX
17	43077	AFFIX
18	42347	AFFIX
19	44658	AFFIX
20	37476	TRASH
21	43444	AFFIX
22	28779	AFFIX
23	30652	AFFIX
24	38040	TRASH
25	42403	AFFIX
26	41622	AFFIX
27	43005	TRASH
28	49475	AFFIX
29	33993	OK-ADJ
30	49937	AFFIX
31	35168	AFFIX
32	42401	AFFIX
33	49669	AFFIX
34	35012	OK-NOUN
35	38026	TRASH
36	48536	TRASH
37	43209	OK-NOUN
38	36526	AFFIX
39	38054	TRASH
40	41612	AFFIX
41	37683	OK-VERB
42	48546	TRASH
43	49321	AFFIX
44	34996	OK-AUX
45	41820	AFFIX
46	40425	OK-NOUN
47	30895	TRASH
48	37171	AFFIX
49	39504	AFFIX
50	41582	AFFIX
51	48532	TRASH
52	42387	AFFIX
53	15272	AFFIX
54	47750	AFFIX
55	36369	AFFIX
56	31914	OK-VERB
57	50846	OK-NOUN
58	51480	TRASH
59	42330	AFFIX
60	34369	AFFIX
61	20845	AFFIX
62	38028	TRASH
63	28202	AFFIX
64	39043	OK-NOUN
65	42636	AFFIX
66	42420	AFFIX
67	51756	TRASH
68	30291	OK-ADJ
69	42425	AFFIX
70	38053	TRASH
71	40757	OK-NOUN
72	27863	TRASH
73	42314	AFFIX
74	51682	TRASH
75	28911	AFFIX
76	48356	AFFIX
77	49577	AFFIX
78	45430	OK-NOUN
79	45442	TRASH
80	5114	AFFIX
81	42310	AFFIX
82	16590	AFFIX
83	42303	AFFIX
84	42302	AFFIX
85	41276	AFFIX
86	29398	AFFIX
87	41675	AFFIX
88	41843	AFFIX
89	41819	AFFIX
90	42301	AFFIX
91	40675	AFFIX
92	45898	AFFIX
93	45929	TRASH
94	44817	AFFIX
95	42229	AFFIX
96	30011	OK-PROPN
97	37740	AFFIX
98	35849	AFFIX
99	35249	TRASH
100	45335	AFFIX
101	28782	AFFIX
102	50253	AFFIX
103	49246	AFFIX
104	37559	AFFIX
105	43043	AFFIX
106	42214	AFFIX
107	36702	AFFIX
108	31514	TRASH
109	38037	TRASH
110	45122	AFFIX
111	36084	AFFIX
112	23992	AFFIX
113	47690	TRASH
114	40018	AFFIX
115	35603	OK-INTJ
116	46032	TRASH
117	41248	AFFIX
118	42207	AFFIX
119	42237	AFFIX
120	25189	AFFIX
121	15266	AFFIX
122	50569	AFFIX
123	40024	AFFIX
124	48514	OK-ADJ
125	22643	AFFIX
126	42533	AFFIX
127	39798	AFFIX
128	43972	AFFIX
129	23286	AFFIX
130	40587	AFFIX
131	41673	AFFIX
132	42211	AFFIX
133	37523	AFFIX
134	41689	AFFIX
135	27672	AFFIX
136	38050	TRASH
137	38043	TRASH
138	49527	AFFIX
139	35042	TRASH
140	48839	AFFIX
141	35036	OK-VERB
142	48539	TRASH
143	27375	AFFIX
144	31186	AFFIX
145	15311	AFFIX
146	48542	TRASH
147	31762	AFFIX
148	41704	AFFIX
149	31400	AFFIX
150	30050	OK-NOUN
151	38575	OK-ADJ
152	49533	AFFIX
153	28620	AFFIX
154	50796	AFFIX
155	45677	AFFIX
156	48537	TRASH
157	42381	AFFIX
158	45930	TRASH
159	43666	AFFIX
160	49536	AFFIX
161	11845	AFFIX
162	44546	OK-NOUN
163	45639	AFFIX
164	24163	AFFIX
165	45431	TRASH
166	12402	OK-NOUN
167	36398	TRASH
168	16841	AFFIX
169	38022	TRASH
170	40764	TRASH
171	49281	AFFIX
172	43080	AFFIX
173	32135	AFFIX
174	16552	AFFIX
175	15363	AFFIX
176	44584	AFFIX
177	38023	TRASH
178	34988	AFFIX
179	41826	AFFIX
180	40472	AFFIX
181	48253	AFFIX
182	43114	AFFIX
183	49528	AFFIX
184	37534	AFFIX
185	33368	AFFIX
186	26104	AFFIX
187	49535	AFFIX
188	26107	AFFIX
189	48085	AFFIX
190	32110	AFFIX
191	39876	AFFIX
192	40470	AFFIX
193	40468	AFFIX
194	31892	AFFIX
195	43963	AFFIX
196	46817	AFFIX
197	38052	TRASH
198	43312	AFFIX
199	25983	AFFIX
200	41584	AFFIX
201	24795	AFFIX
202	46709	TRASH
203	49360	AFFIX
204	50613	TRASH
205	50046	TRASH
206	38030	TRASH
207	48446	TRASH
208	37831	OK-NOUN
209	50373	AFFIX
210	45320	TRASH
211	34917	AFFIX
212	42446	AFFIX
213	31471	AFFIX
214	39469	AFFIX
215	49532	AFFIX
216	46025	TRASH
217	25046	AFFIX
218	45520	AFFIX
219	36393	OK-NOUN
220	39499	AFFIX
221	29039	AFFIX
222	38044	TRASH
223	43893	AFFIX
224	42065	AFFIX
225	48541	TRASH
226	42445	AFFIX
227	49206	AFFIX
228	45931	TRASH
229	30251	OK-NOUN
230	42604	AFFIX
231	50159	TRASH
232	38038	TRASH
233	46636	AFFIX
234	47292	AFFIX
235	38047	TRASH
236	38046	TRASH
237	47499	AFFIX
238	38045	TRASH
239	43436	AFFIX
240	42468	AFFIX
241	41594	AFFIX
242	45637	AFFIX
243	23873	AFFIX
244	13172	AFFIX
245	16563	AFFIX
246	48475	OK-NOUN
247	32048	AFFIX
248	11076	AFFIX
249	48549	TRASH
250	24575	AFFIX
251	38021	TRASH
252	44756	TRASH
253	49396	AFFIX
254	47971	AFFIX
255	31054	AFFIX
256	11102	AFFIX
257	43980	AFFIX
258	42475	AFFIX
259	36989	TRASH
260	15275	AFFIX
261	13088	AFFIX
262	48550	TRASH
263	48525	TRASH
264	46034	TRASH
265	16719	OK-VERB
266	49534	AFFIX
267	41836	AFFIX
268	48535	TRASH
269	48527	TRASH
270	46031	TRASH
