# voca_id<TAB>old_word<TAB>correct_word
38018	flurrry	flurry
38023	paraentage	parentage
38036	carreen	careen
38041	blulge	bulge
38042	apopletic	apoplectic
38450	bailot	bailout
38553	autogragh	autograph
38561	pollish	polish
38990	vangurad	vanguard
39054	pessinistic	pessimistic
39073	methphysical	metaphysical
39146	treadmil	treadmill
39244	tourmalin	tourmaline
39254	busbody	busybody
39588	crob	crop
39599	elligible	eligible
39778	magaloglossia	megaloglossia
39807	colocate	collocate
40129	naiff	naif
40143	umimpeachable	unimpeachable
40380	faterhood	fatherhood
40522	confabulaion	confabulation
40525	caralepsy	catalepsy
40564	risidue	residue
40766	intestin	intestine
41036	Egyptain	Egyptian
41039	ancle	ankle
41189	fradulently	fraudulently
41342	mananger	manager
41596	cacumen	acumen
41672	eptitude	aptitude
41871	corruptable	corruptible
42451	slily	slyly
42963	gundown	gun down
43002	semptemvirate	septemvirate
43251	uniquitous	ubiquitous
43325	effcacy	efficacy
43418	entreee	entree
43419	involveness	involvedness
43445	slurf	slurp
43671	bigoty	bigotry
43777	pinprink	pinprick
43865	nephroselerosis	nephrosclerosis
44112	intellctual	intellectual
44152	lawmarker	lawmaker
44170	railload	railroad
44452	disappiontment	disappointment
44502	conquettish	coquettish
44885	aritficial	artificial
44887	fulent	fluent
44888	assemvle	assemble
44889	desreve	deserve
45154	burdensom	burdensome
45183	exterminater	exterminator
45281	infinie	infinite
45285	brance	branch
45305	tesselated	tessellated
45573	regitry	registry
45901	orginized	organized
45908	technigue	technique
46017	excuted	executed
46029	shoerack	shoe rack
46033	brdock	burdock
46220	circumscrib	circumscribe
46240	miraclous	miraculous
46330	horizonal	horizontal
46418	socically	socially
46445	apothecrary	apothecary
46592	solanin	solanine
46676	rufuge	refuge
46708	seperateness	separateness
46756	pupilary	pupillary
46777	inclemnet	inclement
46778	tranfusion	transfusion
46781	loborsaving	labor-saving
46783	plcid	placid
46785	omniscinet	omniscient
46861	retibution	retribution
47090	preperably	preferably
47402	libellist	libelist
47590	towaway	tow-away
47610	auditiorium	auditorium
47612	eyewithness	eyewitness
47616	introgue	intrigue
47617	relapase	relapse
47621	mounment	monument
47622	hydrogene	hydrogen
47623	circumlocation	circumlocution
47625	overswork	overwork
47627	bandge	bandage
47628	prescsribe	prescribe
47629	postcript	postscript
47630	solicite	solicit
47631	fractricide	fratricide
47632	enumnerate	enumerate
47633	couragenous	courageous
47634	temertiy	temerity
47635	dilatoty	dilatory
47637	apothoesis	apotheosis
47640	affentionate	affectionate
47641	altrism	altruism
47642	owenership	ownership
47644	impecunoius	impecunious
47645	impenertrable	impenetrable
47646	beneficient	beneficent
47649	embroiderr	embroider
47651	conterbalance	counterbalance
47652	conterpart	counterpart
47654	epodemic	epidemic
47655	abstrude	abstruse
47656	assmble	assemble
47657	verifty	verify
47658	symmentry	symmetry
47660	dehybrate	dehydrate
47667	foreunner	forerunner
47668	beseige	besiege
47671	maladjstment	maladjustment
47672	nepocracy	nepotocracy
47673	obstrusive	obtrusive
47674	obciate	obviate
47999	incomunicado	incommunicado
48139	parenthese	parentheses
48300	associste	associate
48345	Abolutely	absolutely
48389	dermatologis	dermatologist
48464	compoud	compound
48494	derogatoey	derogatory
48523	cabeat	caveat
48529	anathma	anathema
48562	Authology	anthology
48617	hypercitical	hypercritical
48647	cludy	cloudy
48648	bananan	banana
49222	penetrameter	penetrometer
