# voca_id<TAB>old_word<TAB>correct_word
9044	notatall	not at all
23764	entrylevel	entry-level
26908	jobseeker	job seeker
27612	lookfor	look for
27643	atallcosts	at all costs
28664	nightshift	night shift
30662	forthetimebeing	for the time being
31153	regardlessof	regardless of
31230	watchband	watch band
32954	lookinto	look into
32955	thanksto	thanks to
32957	ablessingindisguise	a blessing in disguise
33307	aswellas	as well as
34664	infavorof	in favor of
34672	keepinmind	keep in mind
34673	byoneself	by oneself
34689	ontheotherhand	on the other hand
34697	takepartin	take part in
34698	carefor	care for
35887	withrespectto	with respect to
36810	comeupwith	come up with
36812	incaseof	in case of
36836	bymeansof	by means of
41163	culdesac	cul-de-sac
43941	jetlag	jet lag
53091	seatbelt	seat belt
53528	firestarter	fire starter
