# voca_id<TAB>old_word<TAB>correct_word
9368	traunt	taunt
9701	buttondown	button-down
9853	getridof	get rid of
9867	banginto	bang into
9875	shootup	shoot up
9876	brushoff	brush off
9878	makesense	make sense
9886	atonce	at once
10223	ecoresort	eco-resort
10520	elbowroom	elbow room
11558	goldbeetle	gold beetle
12664	laundryroom	laundry room
12667	oneup	one-up
14180	inbulk	in bulk
14886	mtge	mortgage
15264	jurisd	jurisdiction
16413	fullfledged	full-fledged
16951	lookforwardto	look forward to
16963	figureout	figure out
16964	keepapartfrom	keep apart from
16966	dealwith	deal with
17070	asmuchas	as much as
17071	spellout	spell out
17080	inarow	in a row
17082	onfire	on fire
17087	payacall	pay a call
17097	forawhile	for a while
17098	turnto	turn to
17101	goastray	go astray
17993	salesrep	sales rep
18480	bookstack	book stack
19233	plantlike	plant-like
21322	woodprint	wood print
22650	sailoff	sail-off
22704	kitchenmaid	kitchen maid
23007	bowshot	bow shot
