58527	도야마는 <strong class="target-word">저렴한</strong> 중형 세단을 출시했다.
58528	영업 사원들은 고객이 자신에게 가장 잘 맞는 스타일을 <strong class="target-word">정확히</strong> 결정하도록 돕는다.
58529	그 가게는 구매자가 가구 값을 월 <strong class="target-word">할부</strong>로 지불할 수 있게 해준다.
58530	카탈로그에 명시된 가격은 추후 <strong class="target-word">통지</strong>가 있을 때까지 유효하다.
58531	가격에는 배송 및 취급 <strong class="target-word">요금</strong>이 포함되어 있다.
58532	롱 씨는 제품 반품을 <strong class="target-word">담당</strong>하고 있다.
58533	전화 회사는 설치에 높은 요금을 <strong class="target-word">청구한다</strong>.
58534	그녀는 요금을 신용카드로 <strong class="target-word">청구했다</strong>.
58535	빌은 그 매장에서 가장 <strong class="target-word">경험이 많은</strong> 판매원이다.
58536	영수증에는 물품 반품이나 교환에 대한 <strong class="target-word">안내</strong>가 나와 있다.
58537	퍼스널 쇼퍼는 고객을 위해 할인 상품을 찾는 데 <strong class="target-word">전문가</strong>이다.
58538	<strong class="target-word">전문</strong> 디자이너가 매장 배치를 만들었다.
58539	그 컴퓨터는 2년간 <strong class="target-word">보증</strong>이 적용된다.
58540	구매자는 결함이 있는 제품에 대해 전액 <strong class="target-word">환불</strong>을 받을 수 있다.
58541	그 웹사이트는 이제 수백만 명의 <strong class="target-word">구독자</strong>를 보유하고 있다.
58542	저희는 3일 이내 <strong class="target-word">배송</strong>을 보장합니다.
58543	모든 환불에는 원본 <strong class="target-word">영수증</strong>이 필요하다.
58544	설치 안내를 <strong class="target-word">주의 깊게</strong> 따라 주세요.
58545	Z마트는 회원 가입을 하는 고객에게 25달러 상품권을 <strong class="target-word">제공한다</strong>.
58546	그 슈퍼마켓은 판촉 <strong class="target-word">혜택</strong>으로 고객을 유혹한다.
58547	쇼퍼스 클럽은 회원들에게 많은 <strong class="target-word">혜택</strong>을 제공한다.
58548	NBC마트 쇼핑객들은 다양한 쿠폰과 무료 배송 서비스로 <strong class="target-word">혜택</strong>을 본다.
58549	10퍼센트 할인은 프리미엄 클럽 회원에게 <strong class="target-word">독점적으로</strong> 제공된다.
58550	장비에 대한 더 자세한 <strong class="target-word">설명</strong>을 원하시면 고객 서비스로 연락하세요.
58551	매코이스는 비슷한 매장들에 비해 <strong class="target-word">비교적</strong> 관대한 환불 정책을 가지고 있다.
58552	백화점 개장을 위한 <strong class="target-word">준비</strong>가 진행 중이다.
58553	그 쇼핑몰은 10주년 기념 프로모션에 비용을 <strong class="target-word">아끼지</strong> 않았다.
58554	고객은 서비스 카운터에서 <strong class="target-word">여분의</strong> 부품을 주문할 수 있다.
58555	이 <strong class="target-word">지역</strong>에는 훌륭한 소매점들이 있다.
58556	보통 3월에 겨울 옷 <strong class="target-word">재고 정리</strong> 세일이 있다.
58557	그 점원은 신발을 할인할 수 있는 특별 <strong class="target-word">승인</strong>을 받았다.
58558	그 고객은 바지 길이를 <strong class="target-word">수선해</strong> 달라고 요청했다.
58559	계산원은 모든 상품에 할인을 <strong class="target-word">적용했다</strong>.
58560	그 직책에 <strong class="target-word">지원하고자</strong> 하는 사람은 우리 상품에 익숙해야 한다.
58561	그 부부와 딜러는 차량에 대해 <strong class="target-word">서로</strong> 합의할 수 있는 가격에 도달했다.
58562	최근 몇 년간 체크카드는 인기 있는 결제 <strong class="target-word">방법</strong>이 되었다.
58563	젠슨 패션은 비즈니스 복장으로 <strong class="target-word">적합한</strong> 옷을 판매한다.
58564	효과적인 광고는 소비자에게 필요하지 않은 상품을 사고 싶다는 <strong class="target-word">욕구</strong>를 만들어낼 수 있다.
58565	많은 사람들이 최신 전자기기를 <strong class="target-word">원한다</strong>.
58566	매장 상품권은 어느 지점에서나 <strong class="target-word">교환 가능하다</strong>.
58567	그 온라인 매장은 다음 달에 <strong class="target-word">공식적으로</strong> 개장할 것이다.
58568	홈시어터 같은 고급 제품의 <strong class="target-word">소비</strong>가 최근 증가했다.
58569	고객이 신용카드 <strong class="target-word">자격</strong>을 얻으려면 정기적인 소득이 필요하다.
58570	그 제조업체의 의류는 오직 천연 <strong class="target-word">원단</strong>으로만 만들어진다.
58571	여러 골동품이 <strong class="target-word">경매</strong>에서 판매될 것이다.
58572	시내에 새로 생긴 그 레스토랑은 <strong class="target-word">정통</strong> 스페인 요리를 제공한다.
58573	<strong class="target-word">유효한</strong> 영수증을 제시해야 한다.
58574	주간 시장이 열리는 동안 거리는 <strong class="target-word">노점상</strong>들로 가득 찬다.
58575	소프트웨어 <strong class="target-word">판매업체</strong>들은 특정 소매가로 제품을 판매하도록 지시받았다.
58576	그 회사는 GPS 기술 개발에 관한 <strong class="target-word">연구</strong> 프로그램을 시작했다.
