18587	PRON
18588	PRON
18589	PRON
18590	PRON
18591	PRON
2455	ADJ
4398	ADJ
4399	ADJ
4400	ADJ
4401	ADJ
4402	ADJ
3190	NOUN
3191	NOUN
135140	NOUN
135208	NOUN
135500	NOUN
137997	NOUN
139093	NOUN
19158	NOUN
19159	NOUN
19160	NOUN
135968	VERB
135969	NOUN
4914	NOUN
4915	VERB
4916	VERB
4917	VERB
4918	VERB
131557	NOUN
134481	VERB
136493	NOUN
136494	NOUN
84689	ADV
27951	NOUN
27952	NOUN
27953	NOUN
27954	NOUN
27955	NOUN
135275	NOUN
135276	NOUN
18659	VERB
18660	VERB
18661	VERB
18662	VERB
18663	VERB
4840	ADJ
4841	ADJ
4842	ADJ
4843	ADJ
4844	ADJ
30699	ADJ
136651	NOUN
7888	NOUN
15525	NOUN
15526	NOUN
15527	NOUN
15528	NOUN
15529	NOUN
107671	NOUN
107672	NOUN
107673	NOUN
107674	NOUN
2074	ADJ
2075	ADJ
1864	NOUN
1865	NOUN
1866	NOUN
1867	NOUN
1868	NOUN
40332	ADJ
134696	NOUN
12762	NOUN
12763	VERB
12764	NOUN
12765	NOUN
127744	PROPN
7789	ADJ
7791	ADJ
8818	ADJ
132960	ADJ
132961	ADJ
137374	ADJ
12585	ADV
12586	ADV
12587	ADV
94922	ADJ
94923	ADJ
107764	ADJ
6959	NOUN
6960	NOUN
6961	NOUN
6962	VERB
134810	VERB
1778	VERB
4726	VERB
4727	VERB
4728	NOUN
4729	VERB
4730	NOUN
7315	NOUN
7698	NOUN
11676	NOUN
11677	NOUN
11678	NOUN
11679	NOUN
133198	NOUN
133199	VERB
133200	VERB
14156	NOUN
14157	NOUN
137194	NOUN
15138	NOUN
15139	NOUN
35034	PROPN
6486	NOUN
6487	VERB
6488	VERB
6489	VERB
133257	VERB
133258	VERB
18534	ADJ
18535	VERB
18536	VERB
18537	VERB
18538	VERB
2744	ADJ
2745	ADJ
2746	ADJ
2747	NOUN
2748	ADJ
130363	ADJ
136724	ADJ
136725	ADJ
140663	ADJ
9622	ADJ
9623	ADJ
92504	VERB
92518	VERB
121612	VERB
135409	NOUN
135410	NOUN
19573	ADJ
19574	ADJ
19575	ADJ
19576	ADJ
19287	ADJ
19288	NOUN
19289	NOUN
7923	ADJ
7924	ADJ
7925	NOUN
7926	ADJ
7927	ADJ
124759	ADJ
90136	NOUN
13444	NOUN
13445	NOUN
8111	ADJ
8112	ADJ
8113	ADJ
8114	ADJ
32193	ADJ
32194	VERB
3097	ADV
24548	ADV
24549	ADV
24550	ADV
13317	NOUN
13318	NOUN
13319	NOUN
132020	NOUN
27959	NOUN
27960	NOUN
44068	NOUN
99506	ADJ
36758	ADV
36759	ADV
36760	ADV
36761	ADV
36762	ADV
133067	ADV
1182	VERB
1183	VERB
1184	VERB
1185	VERB
1186	VERB
409	VERB
411	VERB
412	VERB
413	VERB
83471	VERB
139709	X
12968	NOUN
12969	NOUN
12970	NOUN
12971	VERB
12972	NOUN
134663	NOUN
130291	NOUN
131201	VERB
134666	NOUN
137636	VERB
79701	NOUN
114876	NOUN
115505	NOUN
6613	ADJ
6614	VERB
6615	VERB
6616	VERB
6617	VERB
134670	ADJ
32046	NOUN
32047	NOUN
32048	NOUN
98896	NOUN
98897	NOUN
119392	NOUN
119393	NOUN
9934	ADJ
9935	ADJ
9936	ADJ
9937	ADJ
9938	ADJ
12745	NOUN
12746	VERB
12747	NOUN
12748	ADJ
5100	VERB
5101	VERB
5102	VERB
5103	VERB
5104	VERB
115355	NOUN
19147	NOUN
126575	PROPN
127954	PROPN
2308	ADV
2309	ADV
2310	ADV
2312	ADV
136556	NOUN
136557	NOUN
31129	PROPN
31130	VERB
135009	NOUN
135010	NOUN
1829	NOUN
1830	NOUN
134797	NOUN
109517	VERB
15001	NOUN
15002	ADJ
15003	NOUN
15004	ADJ
15005	VERB
140240	ADJ
93900	ADJ
93901	X
93902	NOUN
99150	ADJ
99151	X
19090	NOUN
19091	NOUN
1203	NOUN
2546	NOUN
3181	NOUN
3182	NOUN
3183	VERB
22462	VERB
134948	NOUN
139724	VERB
139818	VERB
4158	NOUN
4159	NOUN
4160	NOUN
135136	NOUN
135205	NOUN
19064	VERB
19065	NOUN
19066	VERB
19067	VERB
19068	VERB
24255	NOUN
24256	NOUN
24257	NOUN
32059	ADJ
32060	ADJ
32061	ADJ
11340	NOUN
11341	NOUN
11342	NOUN
18081	NOUN
18082	NOUN
18083	NOUN
18084	NOUN
18085	NOUN
24227	NOUN
133260	NOUN
6724	VERB
6749	NOUN
